Lat,Lng,CDD30,HDD30
38.9331,-120.8008,1186.0,3723.0
34.0869,-118.4794,1073.0,1354.0
37.0067,-121.5633,783.0,2343.0
35.7269,-118.7006,455.0,4369.0
32.8833,-114.8667,4532.0,784.0
36.7394,-118.9631,151.0,6577.0
39.2042,-121.0681,657.0,4052.0
38.4306,-122.8647,292.0,3100.0
40.4864,-123.9089,44.0,4489.0
37.8444,-120.2258,657.0,4273.0
36.1389,-117.9528,2263.0,2653.0
37.4725,-122.4433,6.0,3948.0
36.3158,-119.6369,1791.0,2586.0
40.9317,-121.5433,291.0,5761.0
33.7044,-115.6289,3340.0,1453.0
38.6175,-122.8731,840.0,2422.0
35.6842,-121.1683,771.0,2645.0
33.7381,-116.8939,1734.0,1782.0
33.2372,-116.7614,655.0,3797.0
37.9614,-119.7831,546.0,4773.0
36.8483,-121.4214,420.0,2667.0
37.2275,-119.2206,40.0,7232.0
33.7572,-116.7067,491.0,4359.0
32.8489,-115.5667,3793.0,1017.0
36.7981,-118.2036,1858.0,3329.0
33.7086,-116.2153,4649.0,704.0
35.6514,-117.8214,2284.0,2590.0
34.1472,-115.1219,4690.0,951.0
33.72,-117.7231,1339.0,1229.0
41.2683,-120.2947,168.0,6898.0
34.1469,-116.2747,2325.0,2237.0
33.0764,-116.5925,784.0,3730.0
37.9569,-122.5439,413.0,2714.0
35.7831,-118.4389,1606.0,3008.0
36.0042,-119.96,2040.0,2405.0
36.2069,-121.1378,577.0,2281.0
41.5786,-124.0747,3.0,5158.0
33.5453,-117.7814,617.0,1502.0
34.2467,-117.1883,386.0,5401.0
38.4919,-122.0039,1585.0,2391.0
39.3183,-120.6392,136.0,6338.0
32.7675,-117.0233,1286.0,1085.0
41.7019,-121.5011,350.0,6467.0
37.9567,-119.1194,267.0,6358.0
36.3817,-119.0264,1882.0,2298.0
36.2033,-119.0545,1747.0,2344.0
37.6922,-121.7692,904.0,2562.0
36.6044,-118.7325,21.0,8301.0
38.1061,-121.2878,1138.0,2490.0
34.6539,-120.4514,130.0,2447.0
37.0564,-120.8667,1709.0,2284.0
36.9897,-120.9297,1737.0,2361.0
37.2319,-121.9592,575.0,2673.0
36.9539,-120.0378,1624.0,2666.0
37.6478,-118.9617,29.0,8204.0
40.5411,-121.5767,78.0,7415.0
38.4917,-122.1242,1100.0,2931.0
38.0131,-122.1142,588.0,2977.0
39.1458,-121.5853,1822.0,2243.0
41.2514,-122.1383,381.0,5566.0
33.5714,-116.0767,4109.0,954.0
37.2858,-120.5117,1559.0,2572.0
40.3458,-121.6092,68.0,7156.0
34.9436,-115.5469,2003.0,2839.0
35.0492,-118.1619,2004.0,2834.0
34.0192,-118.1053,1737.0,849.0
36.5903,-121.91,62.0,3414.0
36.5928,-121.8556,30.0,3561.0
37.1364,-121.6025,886.0,2133.0
35.3672,-120.8456,105.0,2407.0
35.4592,-115.5311,1374.0,4193.0
37.8792,-121.9303,963.0,3242.0
37.3436,-121.6425,730.0,4527.0
32.8672,-116.4194,527.0,4371.0
34.2308,-118.0711,976.0,3674.0
38.2778,-122.2647,564.0,2511.0
39.2467,-121.0008,792.0,4100.0
37.5147,-122.0325,429.0,2323.0
34.9456,-119.6828,1057.0,3035.0
34.3933,-118.5939,1754.0,1822.0
37.2811,-121.0178,1848.0,2084.0
37.95,-120.5333,1332.0,3023.0
38.0047,-120.4864,1743.0,2642.0
33.6025,-117.8803,388.0,1523.0
37.2328,-119.5097,1159.0,3581.0
34.2447,-118.525,1609.0,1396.0
37.7983,-122.2642,243.0,2363.0
38.3858,-122.9661,391.0,3143.0
33.2097,-117.395,256.0,2060.0
33.1553,-116.1689,4698.0,695.0
34.4478,-119.2275,854.0,2226.0
41.3619,-124.0192,5.0,5099.0
39.7458,-122.1997,1561.0,2610.0
41.3089,-123.5317,781.0,3496.0
39.5178,-121.5531,1482.0,2495.0
34.1981,-119.1753,318.0,1723.0
34.2067,-119.1375,343.0,1744.0
37.5917,-122.4717,167.0,2577.0
36.715,-121.3492,331.0,3541.0
34.5883,-118.0939,1991.0,2551.0
33.8275,-116.5097,4343.0,793.0
37.4436,-122.1403,353.0,2732.0
33.3781,-116.84,876.0,4099.0
39.7536,-121.6239,1533.0,2936.0
34.2903,-114.1708,4163.0,1348.0
34.1481,-118.1444,1781.0,1054.0
35.6278,-120.6856,788.0,2864.0
34.5028,-117.8944,1969.0,2583.0
38.2578,-122.6078,339.0,2825.0
36.4817,-121.1822,546.0,3773.0
35.1597,-120.6831,63.0,3034.0
38.6956,-120.8244,1312.0,3094.0
38.7333,-120.7333,1526.0,3189.0
34.0817,-117.7658,1450.0,1429.0
36.0678,-119.02,2220.0,2041.0
39.8053,-120.4719,110.0,6998.0
39.3619,-123.1286,823.0,3296.0
36.1883,-120.6953,740.0,3724.0
39.9367,-120.9475,325.0,5413.0
33.0114,-116.9081,940.0,2263.0
35.3692,-117.6525,1955.0,3017.0
34.0528,-117.1894,1680.0,1692.0
37.4767,-122.2386,484.0,2536.0
40.0261,-123.7931,450.0,3839.0
37.9192,-122.3772,190.0,2545.0
33.9511,-117.3881,1942.0,1286.0
33.9669,-117.3614,1658.0,1471.0
