GEOID,Population
05000US20161,6118
05000US20163,1198
05000US20165,963
05000US20167,1011
05000US20169,4818
05000US20171,266
05000US20173,40926
05000US20175,1785
05000US20177,14737
05000US20179,530
05000US20181,471
05000US20183,911
05000US20185,1220
05000US20187,365
05000US20189,670
05000US20191,3583
05000US20193,898
05000US20195,460
05000US20197,1632
05000US20199,442
05000US20201,1787
05000US20203,402
05000US20205,1683
05000US20207,806
05000US20209,14348
05000US21001,1800
05000US21003,1880
05000US21005,1610
05000US21007,1353
05000US21009,3503
05000US21011,1252
05000US21013,2364
05000US21015,7830
05000US21017,1999
05000US21019,4263
05000US21021,2944
05000US21023,1183
05000US21025,1747
05000US21027,2213
05000US21029,6432
05000US21031,1264
05000US21033,1008
05000US21035,3121
05000US21037,8477
05000US21039,942
05000US21041,1205
05000US21043,2409
05000US21045,1406
05000US21047,6426
05000US21049,2960
05000US21051,1846
05000US21053,806
05000US21055,1072
05000US21057,694
05000US21059,8041
05000US21061,1037
05000US21063,769
05000US21065,1299
05000US21067,23349
05000US21069,1410
05000US21071,3027
05000US21073,3466
05000US21075,839
05000US21077,1013
05000US21079,1399
05000US21081,1927
05000US21083,3164
05000US21085,2364
05000US21087,1276
05000US21089,4086
05000US21091,1327
05000US21093,7730
05000US21095,3231
05000US21097,1525
05000US21099,2199
05000US21101,3788
05000US21103,2041
05000US21105,584
05000US21107,4856
05000US21109,861
05000US21111,68788
05000US21113,3625
05000US21115,1719
05000US21117,13035
05000US21119,1615
05000US21121,2180
05000US21123,1302
05000US21125,4333
05000US21127,1499
05000US21129,892
05000US21131,816
05000US21133,1966
05000US21135,1229
05000US21137,1994
05000US21139,1096
05000US21141,2458
05000US21143,1218
05000US21145,4672
05000US21147,1177
05000US21149,1447
05000US21151,6400
05000US21153,1179
05000US21155,2235
05000US21157,2269
05000US21159,1157
05000US21161,1702
05000US21163,2381
05000US21165,715
05000US21167,2007
05000US21169,1110
05000US21171,1296
05000US21173,2131
05000US21175,1812
05000US21177,3056
05000US21179,3321
05000US21181,811
05000US21183,2646
05000US21185,6899
05000US21187,947
05000US21189,446
05000US21191,1179
05000US21193,2151
05000US21195,5721
05000US21197,1017
05000US21199,4810
05000US21201,320
05000US21203,1664
05000US21205,1738
05000US21207,1728
05000US21209,4129
05000US21211,3192
05000US21213,1361
05000US21215,1375
05000US21217,1779
05000US21219,1476
05000US21221,1074
05000US21223,827
05000US21225,1733
05000US21227,8479
05000US21229,1356
05000US21231,1307
05000US21233,1790
05000US21235,2521
05000US21237,620
05000US21239,2249
05000US22001,4168
05000US22003,2624
