DIVISION,REPORTABLE_DOMAIN,TYPEHUQ,KOWNRENT,YEARMADE,OCCUPYYRANGE,BEDROOMS,TOTROOMS,STOVEN,NUMFRIG,NUMPC,INTERNET,INDIALUP,INDSL,INCABLE,INSATEL,FUELHEAT,EMPLOYHH,SDESCENT,Householder_Race,EDUCATION,NHSLDMEM,HHAGE,WORKPAY,RETIREPY,SSINCOME,INVESTMT,MONEYPY,POVERTY100,FOODASST,DOLLAREL,DOLLARNG,DOLLARLP
1,2,4,2,1939,2,3,6,1,1,1,1,0,0,0,1,4,0,0,6,3,3,25,1,0,0,1,120000,501,0,1342,118,3570
3,6,9,2,1931,7,-2,1,2,1,2,-2,-2,-2,-2,-2,1,0,0,2,2,1,44,0,0,0,0,3750,100,1,172,570,0
4,12,4,2,2005,2,2,3,1,1,1,1,0,1,0,0,3,0,0,1,2,1,19,1,0,0,0,2500,100,0,1707,0,0
6,18,4,2,1970,7,2,4,1,1,2,-2,-2,-2,-2,-2,3,0,0,2,2,2,27,1,0,0,0,6250,100,1,755,610,0
9,27,2,1,1950,34,2,4,1,1,1,1,0,0,1,0,-2,0,0,4,5,3,61,1,1,0,1,110000,501,0,954,530,0
8,22,2,1,1979,14,3,7,2,1,1,1,0,0,0,0,6,0,0,1,6,2,63,1,1,0,1,77500,501,0,1572,0,0
9,26,2,1,1959,7,4,9,2,2,1,1,0,1,0,0,1,0,0,1,5,3,50,1,0,0,1,120000,501,0,6493,1067,0
7,21,2,2,1994,2,4,8,1,2,1,1,0,1,0,0,1,0,0,1,2,3,31,1,0,0,0,47500,501,0,2307,704,0
3,7,2,1,1920,2,3,7,1,1,1,1,0,1,0,0,1,0,0,1,4,2,61,1,0,0,0,52500,501,0,733,1305,0
7,21,6,2,1967,7,2,4,1,1,2,-2,-2,-2,-2,-2,1,0,0,2,2,2,26,0,0,0,0,2500,100,1,803,368,0
9,26,1,1,1958,2,2,4,1,1,2,-2,-2,-2,-2,-2,8,0,0,1,2,1,68,0,1,0,0,22500,501,0,303,0,0
