PUMA,CDD,HDD
1702000.0,982.0,6058.0
1702100.0,979.0,5916.0
1702200.0,895.0,6268.0
1702300.0,1751.0,3272.0
1702400.0,1443.0,4352.0
1702501.0,709.0,7163.0
1702601.0,736.0,6979.0
1702700.0,584.0,7408.0
1702801.0,768.0,6933.0
1702901.0,664.0,6969.0
1703007.0,873.0,5901.0
1703008.0,679.0,6975.0
1703005.0,661.0,6859.0
1703009.0,1042.0,5521.0
1703108.0,1236.0,5278.0
1703102.0,661.0,6859.0
1703106.0,629.0,7238.0
1703107.0,986.0,6002.0
1703105.0,809.0,6464.0
1703209.0,745.0,6906.0
1703202.0,1191.0,3828.0
1703207.0,624.0,7149.0
1703205.0,830.0,6498.0
1703208.0,679.0,6975.0
1703203.0,830.0,6498.0
1703204.0,830.0,6498.0
1703307.0,763.0,6446.0
1703308.0,624.0,7149.0
1703306.0,670.0,6930.0
1703310.0,745.0,6270.0
1703309.0,527.0,7493.0
1703422.0,830.0,6498.0
1703420.0,702.0,6630.0
1703410.0,1001.0,6083.0
1703421.0,745.0,6270.0
1703419.0,522.0,7827.0
1703408.0,830.0,6498.0
1703412.0,866.0,6355.0
1703413.0,866.0,6355.0
1703409.0,809.0,6464.0
1703415.0,830.0,6498.0
1703401.0,624.0,7149.0
1703417.0,624.0,7149.0
1703418.0,624.0,7149.0
1703414.0,734.0,6642.0
1703407.0,624.0,7149.0
1703411.0,986.0,6002.0
1703416.0,1399.0,5020.0
1703532.0,725.0,6516.0
1703501.0,702.0,6630.0
1703503.0,776.0,6497.0
1703502.0,776.0,6497.0
1703520.0,702.0,6630.0
1703529.0,994.0,5787.0
1703528.0,363.0,9731.0
1703524.0,1001.0,6083.0
1703530.0,994.0,5787.0
1703522.0,994.0,5787.0
1703504.0,994.0,5787.0
1703525.0,994.0,5787.0
1703526.0,842.0,6709.0
1703527.0,830.0,6498.0
1703521.0,1001.0,6083.0
1703523.0,1350.0,3459.0
1703531.0,994.0,5787.0
1703601.0,745.0,6906.0
1703602.0,670.0,6930.0
1703700.0,889.0,6408.0
1800101.0,994.0,5787.0
1800103.0,725.0,6516.0
1800104.0,694.0,6456.0
1800102.0,788.0,6337.0
1800200.0,828.0,6057.0
1800300.0,801.0,6338.0
1800401.0,812.0,6294.0
1800402.0,812.0,6294.0
1800500.0,768.0,5531.0
1800600.0,657.0,6832.0
1800700.0,316.0,7830.0
1800800.0,654.0,6589.0
1800900.0,830.0,6205.0
1801002.0,713.0,6572.0
1801003.0,868.0,5831.0
1801001.0,830.0,6205.0
1801100.0,725.0,6516.0
1801200.0,934.0,5750.0
1801300.0,634.0,6955.0
1801400.0,663.0,6487.0
1801500.0,860.0,5794.0
1801600.0,1443.0,4352.0
1801700.0,1107.0,5433.0
1801801.0,975.0,5591.0
1801802.0,864.0,6308.0
1801803.0,691.0,6503.0
1801900.0,872.0,5807.0
1802000.0,895.0,6022.0
1802100.0,1122.0,5138.0
1802200.0,975.0,5591.0
1802307.0,942.0,5783.0
1802306.0,872.0,5807.0
1802302.0,1042.0,5521.0
1802303.0,942.0,5783.0
1802304.0,1042.0,5521.0
1802301.0,873.0,5901.0
1802305.0,942.0,5783.0
1802400.0,901.0,4766.0
1802500.0,966.0,5468.0
1802600.0,943.0,5472.0
1802700.0,1635.0,3893.0
1802800.0,1017.0,5348.0
1802900.0,1059.0,5367.0
1803000.0,1094.0,4769.0
1803100.0,937.0,4655.0
1803200.0,1501.0,4183.0
1803300.0,1333.0,3782.0
1803400.0,2166.0,2419.0
1803500.0,1326.0,4225.0
1803600.0,639.0,8036.0
1900100.0,1022.0,6283.0
1900200.0,746.0,7513.0
1900400.0,303.0,9137.0
1900500.0,1165.0,5596.0
1900600.0,653.0,7306.0
1900700.0,650.0,7279.0
1900800.0,581.0,7496.0
1900900.0,1100.0,6179.0
1901000.0,788.0,6851.0
1901100.0,858.0,6837.0
1901200.0,683.0,7676.0
1901300.0,484.0,8095.0
1901400.0,790.0,6759.0
1901500.0,731.0,7426.0
1901600.0,821.0,6998.0
1901700.0,1052.0,6436.0
1901800.0,899.0,6519.0
1901900.0,872.0,6914.0
1902000.0,890.0,6974.0
1902100.0,937.0,6695.0
1902200.0,1993.0,2963.0
1902300.0,1176.0,5493.0
2000100.0,1104.0,5836.0
2000200.0,1444.0,5188.0
2000300.0,1465.0,5120.0
2000400.0,1300.0,5379.0
2000500.0,1356.0,5331.0
2000601.0,1406.0,4847.0
2000603.0,1420.0,4953.0
2000604.0,1176.0,5373.0
2000602.0,1676.0,4734.0
2000700.0,1582.0,4685.0
2000802.0,1171.0,5586.0
2000801.0,1581.0,4581.0
2000900.0,1136.0,5884.0
2001000.0,2061.0,3050.0
2001100.0,484.0,8034.0
2001200.0,1170.0,5315.0
2001301.0,1290.0,5614.0
2001304.0,1567.0,4678.0
2001303.0,1658.0,4366.0
2001302.0,1744.0,4628.0
2001400.0,1421.0,4767.0
2001500.0,1594.0,4922.0
2100100.0,1439.0,4119.0
2100200.0,1661.0,3774.0
2100300.0,1379.0,4666.0
2100400.0,1483.0,3827.0
2100500.0,1362.0,3881.0
2100600.0,1138.0,4776.0
2100700.0,900.0,4788.0
2100800.0,1150.0,4231.0
2100900.0,1001.0,4712.0
2101000.0,1063.0,4880.0
2101100.0,1300.0,4427.0
2101200.0,1136.0,4497.0
2101300.0,840.0,4686.0
2101400.0,1506.0,4059.0
2101500.0,1425.0,4256.0
2101600.0,1131.0,4883.0
2101706.0,2256.0,2600.0
2101704.0,1079.0,4829.0
2101705.0,1079.0,4829.0
2101703.0,1079.0,4829.0
2101702.0,1443.0,4352.0
2101701.0,1067.0,4894.0
2101800.0,1598.0,3648.0
2101901.0,1306.0,4208.0
2101902.0,687.0,6084.0
2102000.0,1393.0,3485.0
2102100.0,1409.0,3604.0
2102200.0,1264.0,4652.0
2102300.0,1055.0,5102.0
2102400.0,1064.0,5148.0
2102500.0,1064.0,5148.0
2102600.0,1171.0,4280.0
2102700.0,867.0,5166.0
2102800.0,865.0,5228.0
2200101.0,2405.0,2251.0
2200100.0,2405.0,2251.0
2200200.0,2482.0,1730.0
2200300.0,2438.0,2180.0
2200400.0,1050.0,4927.0
2200500.0,1795.0,3287.0
2200600.0,2602.0,1908.0
2200700.0,2514.0,1961.0
2200800.0,969.0,5586.0
2200900.0,2705.0,1546.0
